"A(km)","D*bounce_amplitude_1(cm)","D*bounce_amplitude_2(cm)","EOS","MbarICgrav(Msun)","Mgrav1_IC_b(Msun)","Mrest_IC_b(Msun)","SNR(aLIGOfrom10kpc)","T_c_b(MeV)","Ye_c_b","alpha_c_b","beta1_IC_avg","beta1_IC_b","fpeak(Hz)","j_IC_b(g*cm^2|s)","omega_0(rad|s)","omega_max(rad|s)","rPNSequator_b(km)","rPNSpole_b(km)","r_omega_max(km)","rho_c_b(g|ccm)","rhobar_c_postbounce(g|ccm)","s_c_b(kB|baryon)","t_bounce_end(s)","t_postbounce_end(s)","tbounce(s)"
467,81.8010836869807,-357.716666190636,"BHBL",1.21219009775275,0.970091323768224,0.979186550572457,131.732935132,10.2963503700902,0.279669358682,0.847313169591,0.170492136704,0.197325203851,794.997456466,1.16338852557749e+49,11,5487.06250445,56.7374254426,24.651834668,5.263255793,232153915593000,206527453952000,1.04360988497,0.305941368149,0.311941368149,0.303373564132
467,69.5710110745261,-342.864823655877,"BHBL",1.23916282959127,0.978036164338706,0.986765804838749,125.832563135,9.88272232668064,0.279669738632,0.85146117494,0.17665828359,0.20263617869,788.593988012,1.23337784272767e+49,11.5,5027.18162906,59.816491693,20.2444670057,5.263255793,222403655136000,191432344512000,1.037526595,0.332567662534,0.338567662534,0.329247210219
634,3.99505809815954,-2.72221711548233,"BHBL",1.10908325296868,0.598149386285537,0.606178660700775,0.300297184874,14.8543564458992,0.27967,0.831470893265,0,0,650.874979135,0,0,0,63.0369162713,63.0369162713,5,364153672750000,326056312413000,1.04587177674,0.17681411757,0.18281411757,0.174293077787
634,3.45808542444892,-9.21870920653862,"BHBL",1.10306494192851,0.598437297317722,0.606477924610346,1.16373817139,14.8287439855148,0.27967,0.831431430063,0.000792011853451,0.00080590450788,684.835311821,2.56245218139757e+47,0.5,638.688445458,63.0369162713,63.0369162713,5.97916972509,364161887984000,325280466577000,1.04411360949,0.176517618116,0.182517618116,0.174506368128
634,10.0181445948375,-22.7690568484185,"BHBL",1.08496391411694,0.599471193215838,0.607928970311268,4.40792493339,14.7528305162835,0.279669983326,0.831784277156,0.00314105173449,0.0031972337143,695.676362421,5.12724933796694e+47,1,1292.33552671,63.0369162713,63.0369162713,5.263255793,365030780592000,323379510426000,1.04130179634,0.176533761565,0.182533761565,0.175150218043
634,22.4920326227052,-46.1448629694747,"BHBL",1.10116266463225,0.602338330251256,0.610840018454523,9.85475885411,14.6890489542113,0.279669980838,0.831622733471,0.00699501375024,0.00708525905144,707.967425627,7.7256166047705e+47,1.5,1611.60855866,64.7021544797,63.0369162713,6.72795089292,364766303046000,322160390182000,1.03743689351,0.177616393243,0.183616393243,0.176246281058
634,38.835679597838,-80.5090979931033,"BHBL",1.08293307402343,0.608443265320989,0.616988301465828,16.8537624596,15.0341524470187,0.279669980283,0.831285738678,0.0122593296824,0.012409331043,718.276720231,1.04475442412086e+48,2,2159.38006923,64.7021544797,61.4086354126,7.11513555758,363880174782000,320790889261000,1.03202026868,0.179153456431,0.185153456431,0.177794534573
634,59.217067017282,-122.710412273703,"BHBL",1.06903916503947,0.628766579841217,0.637519985696657,26.2846849397,15.2867671200399,0.279669953283,0.830116920217,0.0188215734478,0.0193126233482,705.032762836,1.37728708273353e+48,2.5,2821.19367049,64.7021544797,59.816491693,5.263255793,358382072008000,318014918562000,1.02851098556,0.18121127534,0.18721127534,0.179862731566
634,90.8791950519249,-173.399026252647,"BHBL",1.06938826546679,0.634675683480588,0.643459171318093,37.6249547792,14.7841386906213,0.279669940648,0.830257786059,0.0265025559362,0.0271345510185,706.047917672,1.67003890010793e+48,3,3143.66809482,64.7021544797,58.2596831057,5.263255793,357228711823000,314310821150000,1.03172481194,0.183768138417,0.189768138417,0.182442328712
634,132.348464412162,-229.257275364251,"BHBL",1.08251019469107,0.655368906754643,0.664303491991463,50.086290271,14.8555467169351,0.279669924045,0.829413867927,0.0352844761804,0.036629459795,705.022623003,2.05407432105043e+48,3.5,3355.35898953,64.7021544797,56.7374254426,5.263255793,352338358001000,310844487190000,1.02970465118,0.18688624126,0.19288624126,0.185629883546
634,181.369192665598,-291.680010124108,"BHBL",1.09564497738173,0.679829178770057,0.688948111200525,64.1171243698,14.9352949594102,0.279669881925,0.828203310881,0.0449607828373,0.047643953915,691.404545807,2.50725048110505e+48,4,3608.56943175,64.7021544797,53.7935126932,6.34935918449,345395419002000,306929097885000,1.01879867012,0.19068055556,0.19668055556,0.189483361838
634,228.82934799078,-347.084670770407,"BHBL",1.11267922328189,0.688775548144089,0.697979914677413,76.7900299126,14.831850260867,0.279669872145,0.828580664075,0.0554377064423,0.0584795543073,695.658503298,2.87219269187661e+48,4.5,4141.95973338,64.7021544797,50.9788209745,5.263255793,340095234394000,302179774475000,1.03002211822,0.195238961576,0.201238961576,0.1940798644
634,258.004950325153,-396.989257645116,"BHBL",1.10222222370419,0.710442981305262,0.719685199791431,87.9944162807,14.550207002805,0.279669826284,0.829077094839,0.0663502642917,0.0710993640969,715.923235902,3.37418755432636e+48,5,4623.15515732,64.7021544797,48.2876782181,5.263255793,331872961952000,295975300430000,1.03154698909,0.200709428249,0.206709428249,0.199580691191
634,259.761152797746,-432.651774056085,"BHBL",1.08383281390579,0.736025805229463,0.74529369602795,97.32106188,13.8172577375418,0.279669772694,0.830355712001,0.0777172135653,0.0848168372115,740.837661873,3.96466660352931e+48,5.5,5077.60153452,64.7021544797,43.2545852474,5.263255793,319914723547000,289045977442000,1.03114959255,0.207259314374,0.213259314374,0.206148089865
634,226.817871025322,-448.003397120328,"BHBL",1.1311959872656,0.75389001398129,0.763145588659566,104.246123552,13.7150954611566,0.279669747468,0.83150343373,0.0893756181178,0.0984373107487,764.149579136,4.51207706461568e+48,6,5429.69647855,64.7021544797,40.9024925199,5.263255793,310321758031000,281815910850000,1.02942005743,0.215138755657,0.221138755657,0.213984052651
634,159.707862848193,-454.298991564724,"BHBL",1.10404422444322,0.780106619663833,0.789271939410574,109.175032455,13.2708263361162,0.279669695871,0.833429992127,0.101024745287,0.113737919491,784.680558312,5.21842811465605e+48,6.5,5786.95026039,64.7021544797,35.4640923156,5.263255793,298346138225000,273336219130000,1.04216059523,0.224653245928,0.230653245928,0.223473125713
634,98.1379647473038,-457.164030484762,"BHBL",1.11305674172741,0.805477647531092,0.81450935753876,112.505322448,12.6683450477151,0.279669634905,0.835670804642,0.111936836535,0.12824824264,788.396800403,5.97559338881194e+48,7,5914.25139181,64.7021544797,29.6945166253,5.263255793,286539117961000,263352048883000,1.03913699934,0.236255059178,0.242255059178,0.235050449537
634,78.3277132232089,-452.528772399873,"BHBL",1.13911243416621,0.834749728495071,0.843724550342225,116.039513546,12.2032549591393,0.279669623012,0.838211535361,0.123360658986,0.142691237861,790.669677879,6.87493595004893e+48,7.5,6001.88479308,64.7021544797,21.6481605416,5.263255793,276916238220000,254922007594000,1.04039141979,0.250721816199,0.256721816199,0.249456006093
634,76.0748985967234,-388.234911047464,"BHBL",1.14355030272988,0.853897166147823,0.863332846314947,115.104107623,11.9436881483135,0.27967,0.839649385677,0.13981397654,0.156909030347,809.579437181,7.66073967703268e+48,8,6070.68578017,64.7021544797,20.9384381865,5.263255793,270608168997000,251408508905000,1.04481202847,0.2694359417,0.2754359417,0.26774183659
634,67.7910795089917,-319.453894883144,"BHBL",1.15649937054949,0.883222200227674,0.892501892144788,125.611168822,11.4076423196654,0.27967,0.84292659827,0.150447505061,0.168711922495,791.52178566,8.71980125217246e+48,8.5,5826.26322978,63.0369162713,23.1162969167,5.263255793,261286474456000,239854534478000,1.04861812885,0.293407075228,0.299407075228,0.291644055398
634,77.6245661646231,-289.67153050007,"BHBL",1.16722499666683,0.91453183609772,0.923397471650451,119.124843035,10.8393523024097,0.279669526061,0.847237270517,0.160027100659,0.179028235327,773.277259997,9.9200299729215e+48,9,5517.31893474,63.0369162713,26.2578681577,5.263255793,249062212587000,227573228626000,1.04802782811,0.326342228579,0.332342228579,0.324176468464
634,61.9359737652488,-277.78221407026,"BHBL",1.19492495562817,0.948736629811564,0.957131396107714,116.520832143,10.2919662470888,0.279669396331,0.853295912974,0.168937283039,0.186993068557,738.166458828,1.13125579184768e+49,9.5,5143.65984497,61.4086354126,26.2578681577,5.263255793,232069626536000,214196335450000,1.04438135868,0.373299877229,0.379299877229,0.370798578204
1268,4.37211327284837,-11.3884017910364,"BHBL",1.09793816345081,0.598847823014392,0.606902653126166,1.52786896342,14.7301752674164,0.27966999994,0.831419913371,0.00111537402231,0.00103934865684,695.327652464,2.91468742830538e+47,0.5,676.45139626,63.0369162713,63.0369162713,5.97916972509,364241942144000,325188952645000,1.04309592999,0.176627128688,0.182627128688,0.174694271787
